['anasagha', 202585558, 'impression', '4', 241387972L, datetime.datetime(2013, 5, 27, 10, 15, 17), 0.0051675097021764, False, 'best']
['anasagha', 202585558, 'impression', '1', 241392355L, datetime.datetime(2013, 5, 27, 17, 20, 21), 0.026143242623587, False, 'best']
['anasagha', 202585558, 'impression', '2', 241387286L, datetime.datetime(2013, 5, 27, 17, 20, 21), 0.0259666240780038, False, 'best']
['anasagha', 202585558, 'impression', '6', 241387972L, datetime.datetime(2013, 5, 27, 17, 20, 21), 0.0051675097021764, False, 'best']
['anasagha', 202585558, 'impression', '4', 241387517L, datetime.datetime(2013, 5, 27, 17, 20, 21), 0.0160235626099708, False, 'best']
['anasagha', 202585558, 'impression', '5', 241388907L, datetime.datetime(2013, 5, 27, 17, 20, 21), 0.0127438756783489, False, 'best']
['anasagha', 202585558, 'view_full_application_via_name', '1', 241392355L, datetime.datetime(2013, 5, 27, 17, 20, 25), 0.026143242623587, False, 'best']
['anasagha', 202585558, 'impression', '6', 241387972L, datetime.datetime(2013, 5, 27, 17, 26, 11), 0.0051675097021764, False, 'best']
['anasagha', 202585558, 'impression', '4', 241387517L, datetime.datetime(2013, 5, 27, 17, 26, 11), 0.0160235626099708, False, 'best']
['anasagha', 202585558, 'impression', '5', 241388907L, datetime.datetime(2013, 5, 27, 17, 26, 11), 0.0127438756783489, False, 'best']
['anasagha', 202585558, 'impression', '2', 241387286L, datetime.datetime(2013, 5, 27, 17, 26, 11), 0.0259666240780038, False, 'best']
['anasagha', 202585558, 'impression', '1', 241392355L, datetime.datetime(2013, 5, 27, 17, 26, 11), 0.026143242623587, False, 'best']
['anasagha', 202585558, 'impression', '3', 241392934L, datetime.datetime(2013, 5, 27, 17, 26, 11), 0.0236735410704126, False, 'best']
['anasagha', 202585558, 'view_full_application_via_name', '3', 241392934L, datetime.datetime(2013, 5, 27, 17, 26, 13), 0.0236735410704126, False, 'best']

