['shane-', 202591181, 'impression', '6', 241516458L, datetime.datetime(2013, 5, 28, 19, 56, 1), 0.063355089847667, False, 'best']
['shane-', 202591181, 'send_message', '3', 241525238L, datetime.datetime(2013, 5, 29, 6, 31, 50), 0.0987908576901128, False, 'best']
['shane-', 202591181, 'expand_tile', '5', 241517466L, datetime.datetime(2013, 5, 29, 6, 32, 2), 0.0846175239796928, False, 'best']
['shane-', 202591181, 'send_message', '5', 241517466L, datetime.datetime(2013, 5, 29, 6, 32, 4), 0.0846175239796928, False, 'best']
['shane-', 202591181, 'expand_tile', '5', 241517466L, datetime.datetime(2013, 5, 29, 6, 32, 6), 0.0846175239796928, False, 'best']
['shane-', 202591181, 'collapse_tile', '3', 241525238L, datetime.datetime(2013, 5, 29, 6, 32, 9), 0.0987908576901128, False, 'best']
['shane-', 202591181, 'expand_tile', '3', 241525238L, datetime.datetime(2013, 5, 29, 6, 32, 11), 0.0987908576901128, False, 'best']
['shane-', 202591181, 'send_message', '1', 241526159L, datetime.datetime(2013, 5, 29, 6, 32, 19), 0.1324994300987, False, 'best']
['shane-', 202591181, 'expand_tile', '1', 241526159L, datetime.datetime(2013, 5, 29, 6, 32, 21), 0.1324994300987, False, 'best']

['shane-', 202591181, 'impression', '5', 241517466L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.0846175239796928, False, 'best']
['shane-', 202591181, 'impression', '12', 241517916L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.0510258110342436, False, 'best']
['shane-', 202591181, 'impression', '7', 241521101L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.0665299749379953, False, 'best']
['shane-', 202591181, 'impression', '13', 241516997L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.0459068723792738, False, 'best']
['shane-', 202591181, 'impression', '4', 241516853L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.094303846664299, False, 'best']
['shane-', 202591181, 'impression', '3', 241525238L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.0987908576901128, False, 'best']
['shane-', 202591181, 'impression', '6', 241545325L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.0677540912834705, False, 'best']
['shane-', 202591181, 'impression', '16', 241518022L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.00961991663767876, False, 'best']
['shane-', 202591181, 'impression', '11', 241521952L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.051845321736003, False, 'best']
['shane-', 202591181, 'impression', '9', 241517571L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.0613222126251514, False, 'best']
['shane-', 202591181, 'impression', '8', 241516458L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.063355089847667, False, 'best']
['shane-', 202591181, 'impression', '2', 241516357L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.111449498665432, False, 'best']
['shane-', 202591181, 'impression', '15', 241521784L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.0130625001768558, False, 'best']
['shane-', 202591181, 'impression', '10', 241518816L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.0542785276452865, False, 'best']
['shane-', 202591181, 'impression', '14', 241523434L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.0250383764464981, False, 'best']
['shane-', 202591181, 'impression', '1', 241526159L, datetime.datetime(2013, 5, 29, 7, 28, 26), 0.1324994300987, False, 'best']
['shane-', 202591181, 'expand_tile', '5', 241517466L, datetime.datetime(2013, 5, 29, 7, 28, 33), 0.0846175239796928, False, 'best']
['shane-', 202591181, 'view_full_application', '5', 241517466L, datetime.datetime(2013, 5, 29, 7, 28, 35), 0.0846175239796928, False, 'best']

