['amellio', 202543758, 'impression', '11', 240523987L, datetime.datetime(2013, 5, 16, 13, 43, 33), 0.114828252308168, False, 'time']
['amellio', 202543758, 'impression', '10', 240525197L, datetime.datetime(2013, 5, 16, 13, 43, 33), 0.108847346952112, False, 'time']
['amellio', 202543758, 'impression', '9', 240526536L, datetime.datetime(2013, 5, 16, 13, 43, 33), 0.166878086195471, False, 'time']
['amellio', 202543758, 'impression', '4', 240536063L, datetime.datetime(2013, 5, 16, 13, 43, 33), 0.156202354050264, False, 'time']
['amellio', 202543758, 'impression', '1', 240543032L, datetime.datetime(2013, 5, 16, 13, 43, 37), 0.0840354672257209, False, 'time']
['amellio', 202543758, 'impression', '2', 240541549L, datetime.datetime(2013, 5, 16, 13, 45, 52), 0.0889849606573359, False, 'time']
['amellio', 202543758, 'expand_tile', '1', 240543032L, datetime.datetime(2013, 5, 16, 13, 45, 55), 0.0840354672257209, False, 'time']
['amellio', 202543758, 'impression', '1', 240543032L, datetime.datetime(2013, 5, 16, 13, 46, 20), 0.0840354672257209, False, 'time']
['amellio', 202543758, 'impression', '1', 240543032L, datetime.datetime(2013, 5, 16, 13, 46, 22), 0.0840354672257209, False, 'time']
['amellio', 202543758, 'expand_tile', '1', 240543032L, datetime.datetime(2013, 5, 16, 13, 46, 22), 0.0840354672257209, False, 'time']
['amellio', 202543758, 'impression', '2', 240541549L, datetime.datetime(2013, 5, 16, 13, 46, 22), 0.0889849606573359, False, 'time']
['amellio', 202543758, 'impression', '2', 240541549L, datetime.datetime(2013, 5, 16, 13, 46, 28), 0.0889849606573359, False, 'time']
['amellio', 202543758, 'expand_tile', '3', 240536460L, datetime.datetime(2013, 5, 16, 13, 46, 43), 0.182966912559564, False, 'time']
['amellio', 202543758, 'impression', '3', 240536460L, datetime.datetime(2013, 5, 16, 13, 46, 49), 0.182966912559564, False, 'time']
['amellio', 202543758, 'expand_tile', '3', 240536460L, datetime.datetime(2013, 5, 16, 13, 46, 52), 0.182966912559564, False, 'time']
['amellio', 202543758, 'impression', '3', 240536460L, datetime.datetime(2013, 5, 16, 13, 46, 52), 0.182966912559564, False, 'time']
['amellio', 202543758, 'expand_tile', '3', 240536460L, datetime.datetime(2013, 5, 16, 13, 46, 52), 0.182966912559564, False, 'time']
['amellio', 202543758, 'impression', '3', 240536460L, datetime.datetime(2013, 5, 16, 13, 46, 52), 0.182966912559564, False, 'time']
['amellio', 202543758, 'impression', '4', 240536063L, datetime.datetime(2013, 5, 16, 13, 46, 52), 0.156202354050264, False, 'time']
['amellio', 202543758, 'impression', '13', 240523162L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.137794447306331, False, 'time']
['amellio', 202543758, 'impression', '20', 240506562L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.162809491660255, False, 'time']
['amellio', 202543758, 'impression', '8', 240530888L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.130551750938379, False, 'time']
['amellio', 202543758, 'impression', '5', 240533711L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.0726298708388147, False, 'time']
['amellio', 202543758, 'impression', '1', 240543032L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.0840354672257209, False, 'time']
['amellio', 202543758, 'impression', '17', 240509629L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.161640084575073, False, 'time']
['amellio', 202543758, 'impression', '9', 240526536L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.166878086195471, False, 'time']
['amellio', 202543758, 'impression', '4', 240536063L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.156202354050264, False, 'time']
['amellio', 202543758, 'impression', '10', 240525197L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.108847346952112, False, 'time']
['amellio', 202543758, 'impression', '2', 240541549L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.0889849606573359, False, 'time']
['amellio', 202543758, 'impression', '11', 240523987L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.114828252308168, False, 'time']
['amellio', 202543758, 'impression', '3', 240536460L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.182966912559564, False, 'time']
['amellio', 202543758, 'impression', '16', 240513525L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.0328848837401954, False, 'time']
['amellio', 202543758, 'impression', '19', 240507779L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.0448368854761632, False, 'time']
['amellio', 202543758, 'impression', '18', 240508022L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.175539438334101, False, 'time']
['amellio', 202543758, 'impression', '15', 240516150L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.114929003659682, False, 'time']
['amellio', 202543758, 'impression', '6', 240533641L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.068130962853474, False, 'time']
['amellio', 202543758, 'impression', '7', 240533585L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.0703553240927787, False, 'time']
['amellio', 202543758, 'impression', '12', 240523960L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.108913161687147, False, 'time']
['amellio', 202543758, 'impression', '14', 240521621L, datetime.datetime(2013, 5, 16, 13, 47, 30), 0.0513144302648365, False, 'time']
['amellio', 202543758, 'expand_tile', '3', 240536460L, datetime.datetime(2013, 5, 16, 13, 47, 46), 0.182966912559564, False, 'time']

